row_id,title,artist,album,section,audio_in,duration,question,answer
065c2c,Superman (Movie Main Theme),Film & TV Masters,Ultimate Movie Theme Playlist,Movie,,,Q065c2c,A065c2c
c1ff38,A Man and a Woman (Movie Main Theme),Film & TV Masters,Ultimate Movie Theme Playlist,Movie,,,Qc1ff38,Ac1ff38
aaf781,The Godfather,A Century Of Movie Soundtracks,A Century Of Movie Soundtracks Vol. 2,Movie,,,Qaaf781,Aaaf781
3e0bac,The Pink Panther,A Century Of Movie Soundtracks,A Century Of Movie Soundtracks Vol. 1,Movie,,,Q3e0bac,A3e0bac
2f6b5f,"End Title (from ""Lawrence Of Arabia"")",London Philharmonic Orchestra,Lawrence Of Arabia (Original Soundtrack Recording),Movie,,,Q2f6b5f,A2f6b5f
8971dc,La dolce vita,"Nino Rota, Studio Orchestra, StudioConductor",Original Music for the Movies of Federico Fellini,Movie,,,Q8971dc,A8971dc
4efc9e,Amarcord,Nino Rota,Amarcord,Movie,,,Q4efc9e,A4efc9e
b06114,Patton,DLG Orchestra,Greatest Movie Themes,Movie,,,Qb06114,Ab06114
4e2dc2,Being Alive,2006 Broadway Revival Cast,Company (2006 Broadway Revival Cast),Broadway,,,Q4e2dc2,A4e2dc2
a83f57,Whatever Lola Wants,Gwen Verdon,Damn Yankees (Original Soundtrack) [Remastered],Broadway,,,Qa83f57,Aa83f57
67c3f8,They Say It's Wonderful,Annie Get Your Gun - The 1999 Broadway Cast,Annie Get Your Gun - The New Broadway Cast Recording (Staring Bernadette Peters),Broadway,,,Q67c3f8,A67c3f8
ad443f,Alexander Hamilton,"Leslie Odom, Jr., Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Lin-Manuel Miranda, Phillipa Soo, Christopher Jackson & Original Broadway Cast of Hamilton",Hamilton (Original Broadway Cast Recording),Broadway,,,Qad443f,Aad443f
e8b5d6,One (Reprise) / Finale,A Chorus Line Ensemble,A Chorus Line - 40th Anniversary Celebration (Original Broadway Cast Recording),Broadway,,,Qe8b5d6,Ae8b5d6
f0ce4d,Don't Rain On My Parade,Barbra Streisand,The Essential Barbra Streisand,Broadway,,,Qf0ce4d,Af0ce4d
3182d2,Corner of the Sky,Matthew James Thomas,Pippin (New Broadway Cast Recording),Broadway,,,Q3182d2,A3182d2
