row_id,title,artist,album,section,audio_in,start,end,question,answer
id7de4ce,Blackbird - Remastered,The Beatles,The Beatles (Remastered),General,Blackbird (Remastered 2009)-Man4Xw8Xypo.webm,0.0,4.0,Qid7de4ce,Aid7de4ce
id91a7fc,God Only Knows - Remastered,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix Versions),General,God Only Knows (Remastered)-CWPo5SC3zik.m4a,0.0,7.0,Qid91a7fc,Aid91a7fc
id0077fc,Is She Really Going Out With Him?,Joe Jackson,Look Sharp!,General,JOE JACKSON ★ Is She Really Going Out with Him 【HD】-6TzKSFbsh2Y.m4a,0.0,13.0,Qid0077fc,Aid0077fc
id428796,Come On Eileen,Dexys Midnight Runners,Too Rye Ay,General,Come On Eileen-GbpnAGajyMc.webm,0.0,9.0,Qid428796,Aid428796
id5245be,The Logical Song - Remastered 2010,Supertramp,Breakfast In America (Deluxe Edition),General,The Logical Song-low6Coqrw9Y.m4a,0.0,8.0,Qid5245be,Aid5245be
ide2ce81,Ziggy Stardust - 2002 Digital Remaster,David Bowie,Best Of Bowie,General,Ziggy Stardust (2002 Remaster)-VQu2WEAjAJw.webm,0.0,5.0,Qide2ce81,Aide2ce81
id5cfb9d,Rebel Rebel - 1999 Digital Remaster,David Bowie,Best Of Bowie,General,Rebel Rebel (1997 Remaster)-Wb3bfsuttdk.webm,0.0,9.0,Qid5cfb9d,Aid5cfb9d
id7f33e8,King Kunta,Kendrick Lamar,To Pimp A Butterfly,General,Kendrick Lamar - King Kunta-hRK7PVJFbS8.webm,0.0,2.8,Qid7f33e8,Aid7f33e8
id1c39ee,Grenade,Bruno Mars,Doo-Wops & Hooligans,General,01 - Bruno Mars - Grenade - [Doo-Wops & Hooligans]-aLAtJ0k98SI.webm,0.0,6.0,Qid1c39ee,Aid1c39ee
id48e8a1,Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),General,Capital Cities - Safe and Sound (lyrics)-P-u_1gNcmek.webm,0.0,10.0,Qid48e8a1,Aid48e8a1
idd0b4fc,The Safety Dance,Men Without Hats,Greatest,One Hit Wonders,Men Without Hats - Safety Dance (Official Music Video)-AjPau5QYtYs.webm,0.0,8.0,Qidd0b4fc,Aidd0b4fc
id444aef,Spirit In The Sky,Norman Greenbaum,Spirit In The Sky,One Hit Wonders,Spirit In The Sky Norman Greenbaum-AZQxH_8raCI.webm,0.0,10.0,Qid444aef,Aid444aef
id59cb3c,Don't Worry Be Happy,Bobby McFerrin,20 #1's: One Hit Wonders,One Hit Wonders,Bobby McFerrin - Don't Worry Be Happy (Official Video)-d-diB65scQU.webm,0.0,5.0,Qid59cb3c,Aid59cb3c
id9a4776,Somebody's Watching Me - Single Version,Rockwell,20 #1's: One Hit Wonders,One Hit Wonders,Rockwell - Somebody's Watching Me (Official Video)-7YvAYIJSSZY.webm,2.0,9.0,Qid9a4776,Aid9a4776
id267ffa,Hey! Baby,Bruce Channel,20 #1's: One Hit Wonders,One Hit Wonders,Bruce Channel - Hey Baby-ik9dxkKriV0.webm,0.0,9.0,Qid267ffa,Aid267ffa
id17a582,Oh Sheila,Ready For The World,20 #1's: One Hit Wonders,One Hit Wonders,Ready For The World - Oh Sheila (Official Video)-wbL2lMn34Oo.webm,0.0,12.0,Qid17a582,Aid17a582
idde770f,Harden My Heart,Quarterflash,20 #1's: One Hit Wonders,One Hit Wonders,Quarterflash - Harden My Heart (Official Video)-OqeKV2UYq1Q.webm,0.0,12.0,Qidde770f,Aidde770f
idf6f7ca,My Sharona,The Knack,20 #1's: One Hit Wonders,One Hit Wonders,The Knack - My Sharona (1979)-BR2JtsVumFA.webm,0.0,13.0,Qidf6f7ca,Aidf6f7ca
id81a255,Disco Duck,The Rubix Cube's,1970's One Hit Wonders,One Hit Wonders,disco duck-97RjuC9YeXg.webm,0.0,10.0,Qid81a255,Aid81a255
id8fa707,Bette Davis Eyes (Re-Recorded / Remastered),Kim Carnes,80s 1 Hit Wonders (Re-Recorded / Remastered Versions),One Hit Wonders,Bette Davis Eyes (Re-Recorded) (Remastered)-tDJdEhbSP-g.webm,0.0,8.0,Qid8fa707,Aid8fa707
